"SampleID","Condition","Gene","Ct_Value","Technical_Replicate"
"Sample_6","Treated","GeneC",28.1933129645556,3
"Sample_6","Treated","Housekeeping1",19.9338540314544,1
"Sample_6","Treated","Housekeeping1",20.0995345891747,2
"Sample_6","Treated","Housekeeping1",20.3290517039448,3
"Sample_6","Treated","Housekeeping2",21.1305544472501,1
"Sample_6","Treated","Housekeeping2",20.9022205243406,2
"Sample_6","Treated","Housekeeping2",21.3446422855353,3
"Sample_7","Treated","GeneA",22.7980511567886,1
"Sample_7","Treated","GeneA",22.6645190878524,2
"Sample_7","Treated","GeneA",22.5716195205334,3
"Sample_7","Treated","GeneB",24.8116281771882,1
"Sample_7","Treated","GeneB",25.408195734559,2
"Sample_7","Treated","GeneB",24.8199221238559,3
"Sample_7","Treated","GeneC",28.656199897905,1
"Sample_7","Treated","GeneC",28.4597831878556,2
"Sample_7","Treated","GeneC",27.9292898922699,3
"Sample_7","Treated","Housekeeping1",19.692073729908,1
"Sample_7","Treated","Housekeeping1",19.7868780308902,2
"Sample_7","Treated","Housekeeping1",20.077065112747,3
"Sample_7","Treated","Housekeeping2",20.9259924364613,1
"Sample_7","Treated","Housekeeping2",20.8957372201807,2
"Sample_7","Treated","Housekeeping2",20.7145144298205,3
"Sample_8","Treated","GeneA",22.4864916825573,1
"Sample_8","Treated","GeneA",22.2645286591629,2
"Sample_8","Treated","GeneA",21.9996174190236,3
"Sample_8","Treated","GeneB",24.8859320439137,1
"Sample_8","Treated","GeneB",25.2756989827182,2
"Sample_8","Treated","GeneB",24.8273959112175,3
"Sample_8","Treated","GeneC",28.1823892966675,1
"Sample_8","Treated","GeneC",27.5146351875132,2
"Sample_8","Treated","GeneC",27.9833314103426,3
"Sample_8","Treated","Housekeeping1",20.155822161183,1
"Sample_8","Treated","Housekeeping1",20.09034600865,2
"Sample_8","Treated","Housekeeping1",20.0317028582447,3
"Sample_8","Treated","Housekeeping2",20.8077881975084,1
"Sample_8","Treated","Housekeeping2",20.7450886961899,2
"Sample_8","Treated","Housekeeping2",20.6927613628185,3
"Sample_9","Treated","GeneA",22.53529397913,1
"Sample_9","Treated","GeneA",22.2157576157446,2
"Sample_9","Treated","GeneA",22.3528327668898,3
"Sample_9","Treated","GeneB",24.9231723423405,1
"Sample_9","Treated","GeneB",25.5531586015697,2
"Sample_9","Treated","GeneB",24.8044150294914,3
"Sample_9","Treated","GeneC",28.0706159716855,1
"Sample_9","Treated","GeneC",28.0233882548691,2
"Sample_9","Treated","GeneC",27.711443009761,3
"Sample_9","Treated","Housekeeping1",19.9786075741629,1
"Sample_9","Treated","Housekeeping1",20.433365257527,2
"Sample_9","Treated","Housekeeping1",20.1354512159238,3
"Sample_9","Treated","Housekeeping2",21.0123698765979,1
"Sample_9","Treated","Housekeeping2",20.8732509502981,2
"Sample_9","Treated","Housekeeping2",20.3840258335378,3
"Sample_10","Treated","GeneA",22.8394011640243,1
"Sample_10","Treated","GeneA",22.0618079787226,2
"Sample_10","Treated","GeneA",22.7219842532632,3
"Sample_10","Treated","GeneB",25.5727310707652,1
"Sample_10","Treated","GeneB",24.5668320517085,2
"Sample_10","Treated","GeneB",25.2105353006124,3
"Sample_10","Treated","GeneC",27.9213407531793,1
"Sample_10","Treated","GeneC",27.5283567522564,2
"Sample_10","Treated","GeneC",27.5455997038655,3
"Sample_10","Treated","Housekeeping1",19.5195391479276,1
"Sample_10","Treated","Housekeeping1",19.8407280433489,2
"Sample_10","Treated","Housekeeping1",19.5614733245012,3
"Sample_10","Treated","Housekeeping2",21.2063750318927,1
"Sample_10","Treated","Housekeeping2",21.6300326821577,2
"Sample_10","Treated","Housekeeping2",20.6138908571894,3
